pval,qval,G,gene_short_name,ensembl_gene_id,entrezgene,iqr_count,num_cells_expressed,use_for_ordering
6.67388215797839E-011,3.48276347527335E-009,G8244,HIST1H1E,ENSG00000168298,3008,2.9385994553,749,FALSE
6.84424126077257E-011,3.55113851162384E-009,G7307,PJA2,ENSG00000198961,9867,2.9848931076,1894,FALSE
7.53084476061942E-011,3.88505522850698E-009,G6820,TMED7,ENSG00000134970,51014,2.5688428354,1858,FALSE
7.63302863976553E-011,3.91539673635245E-009,G22924,ACTN4,ENSG00000130402,81,2.8907709302,1733,TRUE
8.13797147690866E-011,4.15082522562324E-009,G26045,TSPO,ENSG00000100300,706,3.0531113365,1229,FALSE
8.59613987548881E-011,4.35988487617489E-009,G21734,THRA,ENSG00000126351,7067,2.7004397181,1158,TRUE
8.75661095169459E-011,4.41382517241958E-009,G1104,SERINC2,ENSG00000168528,347735,4.0703893279,1151,TRUE
8.80027172170497E-011,4.41382517241958E-009,G19394,CHAC1,ENSG00000128965,79094,3.4150374993,580,FALSE
9.33340571421895E-011,4.65535838607562E-009,G127,AURKAIP1,ENSG00000175756,54998,2.708951218,1898,FALSE
1.05939960186642E-010,5.25508769541212E-009,G4210,GPC1,ENSG00000063660,2817,2.8073549221,826,TRUE
1.07927430938037E-010,5.32441992627651E-009,G3,CLIC4,ENSG00000169504,25932,2.9463561792,781,FALSE
1.15465761667849E-010,5.64860369760329E-009,G15035,RPLP2,ENSG00000177600,6181,2.4394660337,2154,FALSE
1.15750075770559E-010,5.64860369760329E-009,G15597,C11orf83,NA,NA,2.8579809951,1173,FALSE
1.17876548932226E-010,5.72144883742011E-009,G23500,JUND,ENSG00000130522,3727,2.6629650127,1752,FALSE
1.20244559436884E-010,5.80517584276038E-009,G23484,MAP1S,ENSG00000130479,55201,2.6780719051,1131,FALSE
1.38901969916605E-010,6.6702499170591E-009,G23742,PAK4,ENSG00000130669,10298,2.5025003405,1408,FALSE
1.54458303975976E-010,7.37804004388949E-009,G19985,KIFC3,ENSG00000140859,3801,2.5360529002,1143,FALSE
1.60875942746254E-010,7.6441474269115E-009,G11478,RABL6,ENSG00000196642,55684,2.5748020046,1512,FALSE
1.66526082760852E-010,7.87119096945012E-009,G20204,TNFRSF12A,ENSG00000006327,51330,4.0821392192,1214,FALSE
1.71444041281209E-010,8.06144169107686E-009,G23123,PIAS4,ENSG00000105229,51588,3.1699250014,1055,FALSE
1.83772327657824E-010,8.59635530619086E-009,G11356,WNK2,ENSG00000165238,65268,2.7004397181,753,FALSE
1.93617822647989E-010,8.87300356784793E-009,G12234,DPP7,ENSG00000176978,29952,2.9168060645,2076,FALSE
1.93393818693871E-010,8.87300356784793E-009,G12412,OGT,ENSG00000147162,8473,2.9132883668,1844,FALSE
1.93376054074605E-010,8.87300356784793E-009,G23234,ANGPTL4,ENSG00000167772,51129,3.9657688408,561,TRUE
1.90977454975972E-010,8.87300356784793E-009,G8921,IFNGR1,ENSG00000027697,3459,3.2587342684,1321,FALSE
1.96000430258049E-010,8.89191901693299E-009,G13801,MAPK8,ENSG00000107643,5599,2.4329594073,875,FALSE
1.95964285200663E-010,8.89191901693299E-009,G4103,CHPF,ENSG00000123989,79586,2.9757524538,1795,FALSE
2.00778420699542E-010,9.06313791037733E-009,G2934,MZT2B,ENSG00000152082,80097,2.5443205162,1761,FALSE
2.117873601362E-010,9.51251884233639E-009,G21095,GNA13,ENSG00000120063,10672,2.6322682155,908,FALSE
2.16485135363285E-010,9.67538515871157E-009,G8024,PKIB,ENSG00000135549,5570,3.4780472968,877,FALSE
2.185112454809E-010,9.71783016848061E-009,G9273,GNAI1,ENSG00000127955,2770,3.3329832834,1628,FALSE
2.55254119124146E-010,1.12962460169254E-008,G11096,LYNX1,ENSG00000180155,66004,2.3923174228,518,FALSE
2.59514711102019E-010,1.14287746918489E-008,G23038,POLR2E,ENSG00000099817,5434,2.9004643264,1913,FALSE
3.00907503786824E-010,1.31236374115336E-008,G15383,MDK,ENSG00000110492,4192,3.2326607568,1871,FALSE
3.00448502222235E-010,1.31236374115336E-008,G21838,NAGLU,ENSG00000108784,4669,2.6438561898,1418,FALSE
3.1210278537321E-010,1.34816456763126E-008,G1034,ZNF593,ENSG00000142684,51042,2.8677610886,1209,FALSE
3.11372900924969E-010,1.34816456763126E-008,G1892,DPM3,ENSG00000179085,54344,3.3575520046,1850,FALSE
3.19297539440263E-010,1.37267532669843E-008,G20100,RPUSD1,ENSG00000007376,113000,2.8073549221,601,FALSE
3.26499759274206E-010,1.38386846325236E-008,G10784,EIF4EBP1,ENSG00000187840,1978,3.1901889047,1796,FALSE
3.2532476603209E-010,1.38386846325236E-008,G14856,MACROD1,ENSG00000133315,28992,2.4594316186,821,TRUE
3.25092288744318E-010,1.38386846325236E-008,G23221,FLJ22184,NA,NA,2.8579809951,947,FALSE
3.30412485472986E-010,1.39390837329445E-008,G23902,BCL3,ENSG00000069399,602,2.7369655942,883,TRUE
3.9153164049399E-010,1.64406867459523E-008,G20684,PSMB10,ENSG00000205220,5699,3.0995356736,1301,FALSE
3.95421326366374E-010,1.65271469186834E-008,G19517,GCNT3,ENSG00000140297,9245,3.4447097297,794,FALSE
4.01049190378001E-010,1.66085875721679E-008,G23073,BTBD2,ENSG00000133243,55643,2.5849625007,950,FALSE
4.00082317022597E-010,1.66085875721679E-008,G7377,UQCRQ,ENSG00000164405,27089,2.492396382,2175,FALSE
4.0763859106224E-010,1.68043890415977E-008,G735,C1orf86,NA,NA,2.8744691179,1665,FALSE
4.1181356359834E-010,1.68993311462082E-008,G10018,DNAJB9,ENSG00000128590,4189,3.3750394313,1487,FALSE
4.59048797423082E-010,1.86679844285387E-008,G15039,EFCAB4A,NA,NA,3.0443941194,835,FALSE
4.58203227475021E-010,1.86679844285387E-008,G17710,GAS6,ENSG00000183087,2621,2.7469550771,537,FALSE
4.86364974885197E-010,1.96901479518545E-008,G2330,CD46,ENSG00000117335,4179,2.3404244385,2137,FALSE
4.9019594364427E-010,1.97566472286628E-008,G24144,CLEC11A,ENSG00000105472,6320,3.0874628413,765,FALSE
4.96181754612158E-010,1.99090172472825E-008,G968,RAP1GAP,ENSG00000076864,5909,2.7580272097,1755,TRUE
5.17386399974437E-010,2.0667984154731E-008,G2373,LYPLAL1,ENSG00000143353,127018,3.0731782652,1419,FALSE
5.21858836069187E-010,2.07548086873684E-008,G5488,SKIL,ENSG00000136603,6498,3.2927817492,1268,FALSE
5.48913971889565E-010,2.17350672728903E-008,G11166,LRRC14,ENSG00000160959,9684,2.5235619561,802,FALSE
5.56587095768814E-010,2.19426563345016E-008,G23989,GLTSCR2,NA,NA,2.6072730083,1727,FALSE
5.64383666694858E-010,2.21532858387877E-008,G14486,POLL,ENSG00000166169,27343,2.6438561898,742,FALSE
7.02793084428855E-010,2.74667357845182E-008,G708,CPTP,ENSG00000224051,80772,2.5849625007,618,TRUE
7.13660480871365E-010,2.77712362987357E-008,G15892,SERPINH1,ENSG00000149257,871,2.963474124,720,FALSE
7.29471371097652E-010,0.000000028,G11386,FSD1L,ENSG00000106701,83856,2.6438561898,640,FALSE
7.28161202057263E-010,0.000000028,G15689,ARL2,ENSG00000213465,402,2.986060809,2030,FALSE
7.25910525570595E-010,0.000000028,G9947,LRCH4,ENSG00000077454,4034,2.6438561898,1080,FALSE
7.71962752047866E-010,2.95308462944412E-008,G20161,MLST8,ENSG00000167965,64223,2.9385994553,1524,FALSE
8.38218329054238E-010,3.1930105800429E-008,G23901,BCAM,ENSG00000187244,4059,2.6629650127,1460,TRUE
